,,R_IN1,R_IN3,R_IN4,R_IN5
,,violation_bool,violation_bool,violation_bool,violation_bool
scenario_id,ego_id,,,,
DEU_AAH1-2_127500_T-7649,10086,1.0,1.0,1.0,-1.0
DEU_AAH1-2_7900_T-1049,10020,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_102250_T-2399,10030,1.0,1.0,1.0,-1.0
DEU_AAH1-2_89900_T-10049,10160,1.0,1.0,1.0,-1.0
DEU_AAH1-2_173600_T-3749,10041,1.0,1.0,1.0,-1.0
DEU_AAH1-2_137050_T-7199,10108,1.0,1.0,1.0,-1.0
DEU_AAH1-2_147800_T-7949,10095,1.0,1.0,1.0,-1.0
DEU_AAH1-2_147800_T-7949,10096,1.0,1.0,1.0,-1.0
DEU_AAH1-2_819050_T-19199,10288,1.0,1.0,1.0,-1.0
DEU_AAH1-2_163300_T-3449,10062,1.0,1.0,1.0,-1.0
DEU_AAH1-2_821450_T-21599,10331,1.0,1.0,1.0,-1.0
DEU_AAH1-2_1310950_T-11099,10157,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1314550_T-14699,10204,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1117700_T-17849,10231,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1514400_T-14549,10184,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1715150_T-15299,10222,1.0,1.0,1.0,-1.0
DEU_AAH1-2_1625350_T-25499,10371,1.0,1.0,-1.0,-1.0
DEU_AAH1-2_1715300_T-15449,10224,1.0,1.0,1.0,-1.0
DEU_AAH-2_2130300_T-30449,10529,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2015000_T-15149,10240,1.0,1.0,1.0,-1.0
DEU_AAH-2_27900_T-1049,10040,1.0,1.0,1.0,-1.0
DEU_AAH-2_262550_T-2699,10065,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2929400_T-29549,10562,1.0,1.0,1.0,-1.0
DEU_AAH-2_2929400_T-29549,10564,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2825800_T-25949,10438,1.0,1.0,-1.0,-1.0
DEU_AAH-2_2825800_T-25949,10440,1.0,1.0,1.0,-1.0
