scenario_id,ego_id,rule_STL
DEU_LocationALower-11_119_T-1,10,R_G2
DEU_LocationALower-12_123_T-1,16,R_G2
DEU_LocationALower-12_123_T-1,19,R_G2
DEU_LocationALower-12_124_T-1,19,R_G2
DEU_LocationALower-12_37_T-1,28,R_G2
DEU_LocationALower-25_149_T-1,9,R_G2
DEU_LocationALower-25_167_T-1,23,R_G2
DEU_LocationALower-25_257_T-1,25,R_G2
DEU_LocationALower-26_141_T-1,16,R_G2
DEU_LocationALower-26_236_T-1,11,R_G2
DEU_LocationALower-26_238_T-1,20,R_G2
DEU_LocationALower-26_241_T-1,24,R_G2
DEU_LocationALower-26_59_T-1,13,R_G2
DEU_LocationALower-27_113_T-1,22,R_G2
DEU_LocationALower-27_115_T-1,23,R_G2
DEU_LocationALower-27_116_T-1,21,R_G2
DEU_LocationALower-27_119_T-1,11,R_G2
DEU_LocationALower-27_119_T-1,18,R_G2
DEU_LocationALower-27_131_T-1,5,R_G2
DEU_LocationALower-27_226_T-1,24,R_G2
DEU_LocationALower-27_244_T-1,13,R_G2
DEU_LocationALower-27_270_T-1,20,R_G2
DEU_LocationALower-27_293_T-1,29,R_G2
DEU_LocationALower-27_294_T-1,28,R_G2
DEU_LocationALower-27_294_T-1,29,R_G2
DEU_LocationALower-27_29_T-1,5,R_G2
DEU_LocationALower-28_211_T-1,6,R_G2
DEU_LocationALower-28_31_T-1,9,R_G2
DEU_LocationALower-28_46_T-1,5,R_G2
DEU_LocationALower-29_229_T-1,22,R_G2
DEU_LocationALower-31_64_T-1,12,R_G2
DEU_LocationALower-31_81_T-1,19,R_G2
DEU_LocationALower-31_94_T-1,24,R_G2
DEU_LocationALower-31_95_T-1,21,R_G2
DEU_LocationALower-32_104_T-1,17,R_G2
DEU_LocationALower-33_129_T-1,14,R_G2
DEU_LocationALower-33_190_T-1,22,R_G2
DEU_LocationALower-33_36_T-1,6,R_G2
DEU_LocationALower-33_49_T-1,12,R_G2
DEU_LocationALower-34_124_T-1,8,R_G2
DEU_LocationALower-34_159_T-1,6,R_G2
DEU_LocationALower-34_197_T-1,10,R_G2
DEU_LocationALower-34_206_T-1,20,R_G2
DEU_LocationALower-34_2_T-1,8,R_G2
DEU_LocationALower-34_51_T-1,7,R_G2
DEU_LocationALower-34_52_T-1,8,R_G2
DEU_LocationALower-34_52_T-1,10,R_G2
DEU_LocationALower-34_53_T-1,7,R_G2
DEU_LocationALower-34_53_T-1,8,R_G2
DEU_LocationALower-34_53_T-1,11,R_G2
DEU_LocationALower-34_54_T-1,9,R_G2
DEU_LocationALower-34_54_T-1,11,R_G2
DEU_LocationALower-34_62_T-1,8,R_G2
DEU_LocationALower-34_74_T-1,11,R_G2
DEU_LocationALower-34_80_T-1,10,R_G2
DEU_LocationALower-34_93_T-1,21,R_G2
DEU_LocationALower-35_140_T-1,10,R_G2
DEU_LocationALower-35_189_T-1,14,R_G2
DEU_LocationALower-35_190_T-1,12,R_G2
DEU_LocationALower-37_213_T-1,12,R_G2
DEU_LocationALower-37_86_T-1,7,R_G2
DEU_LocationALower-38_46_T-1,15,R_G2
DEU_LocationALower-38_47_T-1,9,R_G2
DEU_LocationALower-38_47_T-1,11,R_G2
DEU_LocationALower-39_11_T-1,9,R_G2
DEU_LocationALower-40_140_T-1,11,R_G2
DEU_LocationALower-42_14_T-1,9,R_G2
DEU_LocationALower-44_216_T-1,14,R_G2
DEU_LocationALower-44_87_T-1,17,R_G2
